row ID,agent_city,agent_firm_name,agent_state,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_name,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,year,decision_year,decision_month
178941,santa clara,the chugh firm,ca,A-15146-79843,2015-06-01,Certified-Expired,H-1B,INDIA,2015-12-07,460 park avenue south,SUITE 1101,new york,UNITED STATES OF AMERICA,hr manager,mphasis corporation,2142,2126866655,,10016,ny,1998,,,TROY,Master's,2015,2015,12
48367,san francisco,"morgan, lewis & bockius llp",ca,A-15337-46092,2015-12-14,Certified,H-1B,INDIA,2016-04-29,10200 south de anza blvd,None,cupertino,UNITED STATES OF AMERICA,"sr. program manager, global mobility/immigration",seagate us llc,5550,5106611488,,95014,ca,1979,,,SAN JOSE,Bachelor's,2015,2016,4
205622,boston,"fragomen, del rey, bernsen & loewy llp",ma,A-16035-69542,2016-02-26,Certified,E-3,AUSTRALIA,2016-06-09,440 terry ave n,None,seattle,UNITED STATES OF AMERICA,immigration specialist,amazon corporate llc,154100,2062661000,,98109,wa,1999,,,SEATTLE,Bachelor's,2016,2016,6
149098,troy,fakhoury law group,mi,A-14237-01034,2014-08-26,Certified-Expired,H-1B,INDIA,2014-12-30,"2035 lincoln highway, suite 3002",EDISON SQUARE WEST,edison,UNITED STATES OF AMERICA,human resource executive,l&t technology services limited,237,7322486111,,8817,new jersey,2013,Y,INDIA,LIMA,Bachelor's,2014,2014,12
326656,westminster,law office of samira recob,co,A-15321-40676,2015-12-07,Certified,H-1B,INDIA,2016-04-25,1500-a tradeport drive,None,orlando,UNITED STATES OF AMERICA,president,"q1w holdings, llc",190,4078573737,,32824,fl,2006,,,ORLANDO,Bachelor's,2015,2016,4
168955,worcester,"tadmor & tadmor, llp",ma,A-15351-51807,2015-12-30,Certified,H-1B,INDIA,2016-05-03,150 presidential way,3RD FLOOR,woburn,UNITED STATES OF AMERICA,hr immigration specialist,"randstad technologies, lp",8200,7819391720,,1801,ma,1984,,,LA PALMA,Bachelor's,2015,2016,5
153469,troy,"siegel, gross & tou, p.c.",mi,A-16071-83442,2016-03-25,Withdrawn,H-1B,INDIA,2016-05-27,100 canal pointe blvd,SUITE 114,princeton,UNITED STATES OF AMERICA,hr manager,logicgate technologies inc,54,6095140700,,8540,nj,2007,,,WESTERVILLE,Master's,2016,2016,5
50488,san francisco,berry appleman & leiden llp,ca,A-16077-85947,2016-03-28,Certified,H-1B,INDIA,2016-10-27,10 south dearborn street,IL1-0043,chicago,UNITED STATES OF AMERICA,executive director & assistant general counsel,jp morgan chase & co,251196,3127322655,,60603,il,1838,,,BEDFORD,Master's,2016,2016,10
306017,atlanta,"zhang & yan, p.c.",ga,A-14318-25638,2015-02-04,Certified-Expired,H-1B,INDIA,2015-12-31,24155 drake road,SUITE 110,farmington hills,UNITED STATES OF AMERICA,director of hr,corporate computer services inc,135,2488880444,109,48335,mi,1998,,,JERSEY CITY,Master's,2015,2015,12
56360,detroit,"butzel long, a professional corporation",mi,A-14220-96503,2014-10-03,Certified-Expired,H-1B,INDIA,2015-02-27,1 corporate way,,lansing,UNITED STATES OF AMERICA,hr consultant,jackson national life insurance company,4000,5173815500,3387,48951,michigan,1961,A,INDIA,OKEMOS,Bachelor's,2014,2015,2
62804,boston,"fragomen, del rey, bernsen & loewy, llp",ma,A-16150-15768,2016-07-14,Certified,H-1B,INDIA,2016-09-20,440 terry ave n,None,seattle,UNITED STATES OF AMERICA,global immigration program manager,amazon corporate llc,230800,2062661000,,98109,wa,1999,,,BELLEVUE,Master's,2016,2016,9
210781,raleigh,"ogletree, deakins, nash, smoak & stewart, p.c.",nc,A-15037-48878,2015-05-27,Certified-Expired,H-1B,INDIA,2015-11-19,sas campus drive,None,cary,UNITED STATES OF AMERICA,immigration coordinator,sas institute inc.,6836,9196778000,,27513,nc,1976,,,CARY,Master's,2015,2015,11
246269,princeton,hill wallack llp,nj,A-14232-99951,2014-08-26,Certified-Expired,H-1B,ESTONIA,2015-01-22,"11 deer park drive, suite 210",,monmouth junction,UNITED STATES OF AMERICA,president,"mycometrics, llc.",5,7323559018,,8852,new jersey,2005,A,ESTONIA,MONTCLAIR,Bachelor's,2014,2015,1
141934,richmond,"roth doner jackson, plc",va,A-14289-16307,2014-10-28,Certified-Expired,H-1B,INDIA,2015-03-19,po box 2005,1621 McDevitt Drive,culpeper,UNITED STATES OF AMERICA,senior hr specialist-hr americas,"s.w.i.f.t., inc.",490,5408291350,,22701,virginia,1973,Y,INDIA,CENTREVILLE,Master's,2014,2015,3
87411,,,,A-15331-44053,2015-11-28,Withdrawn,H-1B,INDIA,2015-11-30,1001 durham avenue,SUITE 321,south plainfield,UNITED STATES OF AMERICA,president,g3 infotek inc,52,8043802997,,7080,nj,2012,,,COLUMBUS,Bachelor's,2015,2015,11
136357,phoenix,"fragomen, del rey, bernsen & loewy, llp",az,A-16162-20647,2016-06-16,Certified,F-1,INDIA,2016-09-08,2200 mission college blvd.,None,santa clara,UNITED STATES OF AMERICA,u.s. immigration ops manager,intel corporation,54000,4087658080,,95052,ca,1968,,,HILLSBORO,Master's,2016,2016,9
179500,"toronto, on, m5k-1h6",ey law llp,,A-16138-11198,2016-06-30,Certified,L-1,CHINA,2016-09-01,one microsoft way,None,redmond,UNITED STATES OF AMERICA,microsoft in-house attorney,microsoft corporation,60000,4255383872,,98052,wa,1975,,,SAMMAMISH,Master's,2016,2016,9
139103,"toronto, on, canada",ey law llp,,A-16202-34203,2016-08-26,Certified,H-1B,INDONESIA,2016-11-15,200 plaza drive,None,secaucus,UNITED STATES OF AMERICA,"associate director, americas mobility",ernst & young u.s. llp,31000,2018722200,2899,7094,nj,1989,,,LA MIRADA,Bachelor's,2016,2016,11
273900,norcross,"kang c lee, pc",ga,A-16228-42199,2016-08-23,Certified,F-1,SOUTH KOREA,2016-10-31,855 staring ln.,None,baton rouge,UNITED STATES OF AMERICA,senior pastor,korean central church of baton rouge,2,2259253251,,70810,la,1992,,,BATON ROUGE,Master's,2016,2016,10
335970,houston,foster llp,tx,A-15234-10840,2015-08-31,Certified-Expired,H-1B,INDIA,2016-01-29,11500 north mopac expressway,None,austin,UNITED STATES OF AMERICA,hr representative,national instruments,7084,5126836001,,78759,tx,1976,,,ANN ARBOR,Master's,2015,2016,1
149928,cincinnati,hammond law group llc,oh,A-14315-24595,2014-12-16,Certified,H-1B,PHILIPPINES,2015-06-30,12201 bluegrass parkway,,louisville,UNITED STATES OF AMERICA,"vice president, recruitment & staff development","signature payroll services, llc",17000,5025687800,,40299,kentucky,2007,N,PHILIPPINES,MARION,Bachelor's,2014,2015,6
68248,charlotte,garfinkel immigration law firm,nc,A-14079-54386,2014-05-02,Certified,H-1B,SOUTH AFRICA,2015-08-24,5927 s. miami blvd.,,morrisville,UNITED STATES OF AMERICA,human resources manager,"quintiles, inc.",6935,9199982888,,27560,north carolina,1982,A,SOUTH AFRICA,SHAWNEE,Bachelor's,2014,2015,8
101800,new york,kramer levin naftalis & frankel llp,ny,A-14345-33589,2015-01-05,Withdrawn,Parolee,INDIA,2015-02-19,55 water street,,new york,UNITED STATES OF AMERICA,"director, global mobility",standard & poor's financial services llc,1767,2124382465,,10041,new york,1860,A,INDIA,HACKENSACK,Bachelor's,2015,2015,2
145712,san diego,larrabee albi coker llp,ca,A-15223-07576,2015-10-20,Certified-Expired,H-1B,INDIA,2016-03-09,one edwards way,None,irvine,UNITED STATES OF AMERICA,"sr. director, global talent acquisition",edwards lifesciences llc,9000,9492503472,,92614,ca,2000,,,IRVINE,Master's,2015,2016,3
192003,,,,A-14132-68562,2014-05-13,Certified-Expired,L-1,INDIA,2015-04-06,211 quality circle,,college station,UNITED STATES OF AMERICA,immigration specialist,cognizant technology solutions us corporation,29000,2012909573,,77845,texas,1994,N,INDIA,SAINT PAUL,Bachelor's,2014,2015,4
22506,troy,fakhoury law group,mi,A-15170-89054,2015-10-05,Certified-Expired,H-1B,INDIA,2016-03-30,6100 tennyson parkway,SUITE 200,plano,UNITED STATES OF AMERICA,senior lead - global immigration,infosys ltd.,19963,4692299400,,75024,tx,1981,,,CHARLOTTE,Bachelor's,2015,2016,3
270759,dallas,berry appleman & leiden llp,tx,A-16235-44668,2016-08-24,Certified,F-1,SOUTH KOREA,2016-11-16,1600 amphitheatre parkway,None,mountain view,UNITED STATES OF AMERICA,"global mobility specialist, immigration",google inc.,61814,6502530000,,94043,ca,1998,,,SAN JOSE,Master's,2016,2016,11
527,new york,"fragomen, del rey, bernsen & loewy, llp",ny,A-14115-64020,2014-05-01,Certified-Expired,H-1B,CHINA,2014-10-15,60 wall street,,new york,UNITED STATES OF AMERICA,vice president,"deutsche bank securities, inc.",100000,2122502500,,10005,new york,1870,A,CHINA,NEW YORK,Master's,2014,2014,10
79605,new york,"wormser, kiely, galef & jacobs llp",ny,A-16125-05774,2016-06-16,Certified,L-1,BRAZIL,2016-10-06,one ca plaza,None,islandia,UNITED STATES OF AMERICA,"principal, mobility","ca, inc.",12700,6313426000,,11749,ny,1976,,,CHICAGO,Bachelor's,2016,2016,10
302993,irvine,"fragomen, del rey, bernsen & loewy, llp",ca,A-16126-06372,2016-05-09,Certified,F-1,INDIA,2016-08-10,5300 california avenue,None,irvine,UNITED STATES OF AMERICA,global mobility & immigration manager,broadcom corporation,12550,9494508700,,92617,ca,1991,,,IRVINE,Master's,2016,2016,8
218714,new york,barst mukamal & kleiner llp,ny,A-16054-75996,2016-04-28,Certified,L-1,INDIA,2016-08-16,1390 timberlake manor parkway,None,chesterfield,UNITED STATES OF AMERICA,regional immigration & relocations manager,amdocs inc.,4065,3142127188,,63017,mo,1984,,,PLANO,Bachelor's,2016,2016,8
287600,ann arbor,"dehai tao, p.c.",mi,A-14218-95717,2014-08-06,Certified-Expired,H-1B,INDIA,2015-01-26,830 kirts blvd,SUITE 400,troy,UNITED STATES OF AMERICA,director,broadgateinc,47,2489180110,,48084,michigan,2006,Y,INDIA,BREINIGSVILLE,Master's,2014,2015,1
107980,san francisco,"morgan, lewis & bockius llp",ca,A-14078-54338,2014-03-19,Certified,H-1B,CHINA,2015-07-09,951 sandisk drive,,milpitas,UNITED STATES OF AMERICA,hr representative,sandisk corporation,2153,4088011000,,95035,california,1988,A,CHINA,SAN JOSE,Master's,2014,2015,7
345890,san diego,"fragomen, del rey, bernsen, & loewy, llp",ca,A-16134-10097,2016-05-25,Certified,H-1B,INDIA,2016-08-17,1700 technology drive,None,san jose,UNITED STATES OF AMERICA,immigration specialist- qualcomm hr,"qualcomm atheros, inc.",26800,4087735384,,95110,ca,2011,,,SAN DIEGO,Master's,2016,2016,8
71305,pittsburgh,cohen & grigsby p.c.,pa,A-14297-18961,2014-10-24,Certified,H-1B,INDIA,2015-04-15,100 somerset corporate boulevard,,bridgewater,UNITED STATES OF AMERICA,director of immigration,"igate technologies, inc.",3259,9082198050,,8807,new jersey,2001,A,INDIA,AUSTIN,Bachelor's,2014,2015,4
54209,chicago,"fragomen, del rey, bernsen & loewy, llp",il,A-15209-02708,2015-07-29,Certified-Expired,H-1B,CANADA,2016-01-21,500 jackson street,None,columbus,UNITED STATES OF AMERICA,immigration manager,cummins inc.,39800,8123775000,,47201,in,1919,,,SHOREVIEW,Master's,2015,2016,1
87179,chicago,"fragomen, del rey, bernsen & loewy, llp",il,A-14272-11299,2014-11-03,Certified,H-1B,INDIA,2015-04-22,161 n. clark,,chicago,UNITED STATES OF AMERICA,immigration specialist,accenture llp,305668,3126935256,,60601,illinois,2000,A,INDIA,CHICAGO,Bachelor's,2014,2015,4
140423,arlington,braverman & lin,va,A-15216-05058,2015-09-17,Certified-Expired,H-1B,UKRAINE,2016-02-24,22980 indian creek drive,None,sterling,UNITED STATES OF AMERICA,immigration administrator,"m.c.dean, inc.",2672,7038026231,1127,20166,va,1949,,,STERLING,Master's,2015,2016,2
115093,addison,"fragomen, del rey, bernsen & loewy, llp",tx,A-16095-92636,2016-04-22,Certified,H-1B,SOUTH AFRICA,2016-07-15,2000 eastman drive,None,milford,UNITED STATES OF AMERICA,paralegal,siemens plm software inc.,10000,5135762400,,45150,oh,1998,,,DOVER,Bachelor's,2016,2016,7
187892,boston,"fragomen, del rey, bernsen, & loewy, llp",ma,A-15008-40325,2015-02-06,Certified,H-1B,CANADA,2015-09-08,440 terry ave n,,seattle,UNITED STATES OF AMERICA,immigration specialist,amazon corporate llc,117300,2062661000,,98109,washington,1999,A,CANADA,SEATTLE,Bachelor's,2015,2015,9
2153,santa clara,"fragomen, del rey, bernsen & loewy, llp",ca,A-15068-57058,2015-03-12,Certified-Expired,H-1B,CANADA,2016-02-18,3000 hanover street,M/S 1117,palo alto,UNITED STATES OF AMERICA,u.s. immigration manager,hewlett-packard company,302000,6508571501,,94304,ca,1939,,,PALO ALTO,Master's,2015,2016,2
177569,troy,fakhoury law group,mi,A-15169-88267,2015-10-02,Certified-Expired,H-1B,INDIA,2016-03-08,6100 tennyson parkway,SUITE 200,plano,UNITED STATES OF AMERICA,senior lead,infosys ltd.,19963,4692299400,,75024,tx,1981,,,PEORIA,Bachelor's,2015,2016,3
312867,alexandria,"chun & associates, plc",va,A-16225-41977,2016-08-19,Certified,F-1,SOUTH KOREA,2016-10-26,4208 evergreen lane,SUITE 222,annandale,UNITED STATES OF AMERICA,president,"peter d. kim, md, pc",5,7036422288,,22003,va,2005,,,MCLEAN,Doctorate,2016,2016,10
257413,iselin,"nair law group, a professional corporation",nj,A-16238-46559,2016-08-25,Certified,H-1B,INDIA,2016-10-19,200 middlesex essex tpk,SUITE 102,iselin,UNITED STATES OF AMERICA,president,vst consulting inc,90,7324040025,11,8830,nj,2002,,,CHEEKTOWAGA,Bachelor's,2016,2016,10
76270,dallas,berry appleman & leiden llp,tx,A-14231-99388,2014-08-27,Certified-Expired,H-1B,ISRAEL,2015-01-23,1600 amphitheatre parkway,,mountain view,UNITED STATES OF AMERICA,immigration program specialist,google inc.,47756,6502530000,,94043,california,1998,A,ISRAEL,SUNNYVALE,Master's,2014,2015,1
36752,washington,"fragomen, del rey, bernsen & loewy, llp",dc,A-13255-96323,2013-09-26,Certified-Expired,H-1B,INDIA,2015-04-08,7301 parkway drive,,hanover,UNITED STATES OF AMERICA,global immigration specialist,"easi, llc",506,4105796267,,21076,maryland,2010,A,INDIA,TROY,Master's,2013,2015,4
224411,phoenix,"fragomen, del rey, bernsen & loewy, llp",az,A-13165-71959,2013-09-13,Certified,F-1,MEXICO,2015-05-11,2200 mission college blvd.,,santa clara,UNITED STATES OF AMERICA,u.s. immigration ops manager,intel corporation,57750,4087658080,,95052,california,1968,A,MEXICO,FOLSOM,Master's,2013,2015,5
140991,chicago,"the navarre law firm, llc",il,A-16201-34000,2016-07-19,Certified,H-1B,INDIA,2016-10-03,5 lands' end lane,None,dodgeville,UNITED STATES OF AMERICA,senior paralegal,"lands' end, inc.",4000,6089356374,,53595,wi,1963,,,MEDISON,Master's,2016,2016,10
224566,reston,"goel & anderson, llc",va,A-16119-03381,2016-05-19,Certified,H-1B,INDIA,2016-08-05,"100 somerset corporate boulevard, suite 5000, 5th floor",(IGATE NOW BRANDED AS CAPGEMINI),bridgewater,UNITED STATES OF AMERICA,manager immigration,"igate technologies, inc.",3500,9082198050,,8807,nj,2000,,,SCHENECTADY,Master's,2016,2016,8
260953,minneapolis,davis & goldfarb pllc,mn,A-16167-22199,2016-07-18,Certified,TN,MEXICO,2016-10-17,26406 470th avenue,None,morris,UNITED STATES OF AMERICA,director of human resources,riverview llp,750,3203925609,295,56267,mn,2009,,,FARWELL,Bachelor's,2016,2016,10
328196,,,,A-15021-44276,2015-01-23,Certified-Expired,H-1B,INDIA,2015-10-09,211 quality circle,None,college station,UNITED STATES OF AMERICA,immigration specialist,cognizant technology solutions us corporation,35000,2012909573,,77845,tx,1994,,,PARK CITY,Bachelor's,2015,2015,10
91171,orlando,silzerlaw chartered,fl,A-16235-45092,2016-08-22,Certified,H-1B,INDIA,2016-11-04,3250 bruton blvd,None,orlando,UNITED STATES OF AMERICA,managing member,j&s enterprises usa llc,7,4074230600,,32805,fl,2003,,,ORLANDO,Bachelor's,2016,2016,11
26655,beachwood,"the law offices of brian j. halliday, inc.",oh,A-15294-30857,2015-10-21,Certified-Expired,H-1B,INDIA,2016-03-24,101 prospect avenue nw,None,cleveland,UNITED STATES OF AMERICA,employment counsel,the sherwin-williams company,30675,2165662000,,44115,oh,1866,,,MIDDLEBURG HEIGHTS,Master's,2015,2016,3
113290,san francisco,berry appleman & leiden llp,ca,A-15240-12779,2015-10-01,Certified-Expired,H-1B,AUSTRIA,2016-03-11,701 first avenue,None,sunnyvale,UNITED STATES OF AMERICA,"senior manager, human resources",yahoo! inc.,12500,4083493300,,94089,ca,1994,,,SAN FRANCISCO,Bachelor's,2015,2016,3
70312,los angeles,tafapolsky and smith llp,ca,A-14092-57230,2014-05-06,Certified-Expired,L-1,INDIA,2014-10-02,one microsoft way,,redmond,UNITED STATES OF AMERICA,microsoft in-house attorney,microsoft corporation,58000,4257059061,,98052,washington,1975,A,INDIA,REDMOND,Bachelor's,2014,2014,10
136169,,,,A-15138-77438,2015-05-21,Certified-Expired,H-1B,INDIA,2015-11-19,211 quality circle,None,college station,UNITED STATES OF AMERICA,computer systems analyst,cognizant technology solutions us corporation,35000,2012909573,,77845,tx,1994,,,BELLEVUE,Master's,2015,2015,11
113450,washington,"fragomen, del rey, bernsen & loewy, llp",dc,A-16109-98653,2016-05-19,Certified,H-1B,INDIA,2016-08-12,11325 random hills road,None,fairfax,UNITED STATES OF AMERICA,hr specialist â immigration lead,cgi technologies and solutions inc.,69000,7032678000,,22030,va,1976,,,RANCHO CORDOVA,Bachelor's,2016,2016,8
207307,miami,"jacob l. ratzan, p.a.",fl,A-14352-36047,2014-12-25,Certified,H-1B,BRAZIL,2015-07-24,2601 south bayshore drive,SUITE 1460,miami,UNITED STATES OF AMERICA,managing partner & ceo,"bridgeinvest, llc",4,3057499887,,33133,florida,2011,Y,SWITZERLAND,MIAMI,Bachelor's,2014,2015,7
340646,troy,"fragomen, del rey, bernsen & loewy, llp",mi,A-16084-88612,2016-04-15,Certified,H-1B,INDIA,2016-07-13,300 renaissance dr.,M/C: 482-C32-D44,detroit,UNITED STATES OF AMERICA,global mobility consultant,general motors company,243000,3136651211,,48265,mi,1908,,,ROCHESTER HILLS,Doctorate,2016,2016,7
247485,austin,"ogletree, deakins, nash, smoak & stewart, p.c.",tx,A-16225-41934,2016-08-18,Certified,H-1B,INDIA,2016-10-19,3401 hillview avenue,None,palo alto,UNITED STATES OF AMERICA,global immigration program manager,"vmware, inc.",7551,6504275000,,94304-1320,ca,1998,,,SAN MATEO,Master's,2016,2016,10
104698,san francisco,berry appleman & leiden llp,ca,A-15125-73487,2015-05-18,Certified-Expired,H-1B,INDIA,2015-11-19,1060 rincon circle,None,san jose,UNITED STATES OF AMERICA,"senior manager, human resources",csr technology inc.,2260,4085236500,,95131,ca,1995,,,CHANDLER,Bachelor's,2015,2015,11
839,duluth,usa global consulting llc,ga,A-15364-56021,2015-12-31,Withdrawn,,SOUTH KOREA,2016-01-30,4100 port union road,None,fairfield,UNITED STATES OF AMERICA,hr manager,koch foods of cincinnati llc,720,5138743500,,45014,oh,1999,,,SEOGWIPO,Bachelor's,2015,2016,1
206092,west bloomfield,"joseph kallabat & associates, p.c.",mi,A-15049-51496,2015-04-15,Certified-Expired,H-1B,SRI LANKA,2015-10-21,28423 orchard lake rd,STE 203,farmington hills,UNITED STATES OF AMERICA,president,real world technologies inc,28,2489876008,303,48334,mi,2005,,,BLOOMINGTON,Master's,2015,2015,10
54931,reston,james c.t. hsia & associates,va,A-15063-55719,2015-03-04,Certified-Expired,H-1B,INDIA,2015-10-02,21165 whitfield pl. suite 106,None,sterling,UNITED STATES OF AMERICA,vice president,"us software & consulting, inc.",9,7033380994,,20165,va,1997,,,IRVING,Master's,2015,2015,10
53978,atlanta,law offices of brij m. kapoor,ga,A-14258-06809,2014-09-15,Certified-Expired,H-1B,INDIA,2015-02-03,"5200 maryland way, suite 310",,brentwood,UNITED STATES OF AMERICA,controller,css health technologies,32,6153508111,312,37027,tennessee,1984,A,INDIA,MOBILE,Master's,2014,2015,2
98305,boston,,ma,A-16085-89175,2016-03-29,Certified,H-1B,INDIA,2016-07-15,148 state street,None,boston,UNITED STATES OF AMERICA,chief human resources officer,"public consulting group, inc.",17800,6174262026,,2109,ma,1986,,,WINDSOR,Master's,2016,2016,7
303546,new york,"stephanie marks & associates, llc",ny,A-16181-27376,2016-08-23,Certified,H-1B,BOLIVIA,2016-10-25,125 maiden lane,9TH FLOOR,new york,UNITED STATES OF AMERICA,senior officer of human resources & administration,international planned parenthood federation/whr,40,2122486400,277,10038,ny,1954,,,SOUTH ORANGE,Master's,2016,2016,10
182022,newark,dornbaum & peregoy llc,nj,A-14273-11596,2014-09-30,Certified-Expired,H-1B,INDIA,2015-02-20,"63 ramapo valley road, suite 214",,mahwah,UNITED STATES OF AMERICA,president,"fabergent, inc.",38,2013780036,,7430,new jersey,2005,A,INDIA,COVINA,Master's,2014,2015,2
246094,washington,"maggio & kattar, pc",dc,A-15211-03575,2015-07-30,Certified-Expired,H-1B,INDIA,2016-01-26,1850 towers crescent plaza,None,tysons corner,UNITED STATES OF AMERICA,"assistant vice president, human resources",microstrategy services corporation,1800,7038488600,2328,22182,va,1999,,,SAN FRANCISCO,Bachelor's,2015,2016,1
36685,duluth,"socheat chea, p.c.",ga,A-16106-97783,2016-05-09,Certified,H-1B,SPAIN,2016-08-18,1400 crystal drive,SUITE 800,arlington,UNITED STATES OF AMERICA,vice president of human resources,"millennium engineering services, llc",74,7034137734,,22202,va,2013,,,MOUNTAIN VIEW,Master's,2016,2016,8
252851,owings mills,murthy law firm,md,A-16168-22642,2016-07-07,Certified,H-1B,INDIA,2016-10-14,559 d'onofrio drive,SUITE # 101,madison,UNITED STATES OF AMERICA,coo,"isr info way,inc",112,6088277884,207,53719,wi,2000,,,HIGH POINT,Bachelor's,2016,2016,10
327216,san francisco,berry appleman & leiden llp,ca,A-14125-66466,2014-05-13,Certified-Expired,H-1B,INDIA,2014-10-17,701 first avenue,,sunnyvale,UNITED STATES OF AMERICA,global mobility manager,yahoo! inc.,11500,4083493300,,94089,california,1994,A,INDIA,SUNNYVALE,Master's,2014,2014,10
61256,boston,seyfarth shaw llp,ma,A-15239-12240,2015-09-18,Certified-Expired,H-1B,INDIA,2016-02-19,245 summer street,None,boston,UNITED STATES OF AMERICA,sr. immigration specialist,fmr llc,32000,6175636780,,2210,ma,1946,,,COPPELL,Master's,2015,2016,2
71695,phoenix,"fragomen, del rey, bernsen & loewy, llp",az,A-15168-87715,2015-07-14,Certified-Expired,H-1B,INDIA,2016-01-05,2200 mission college blvd. rn4-151,None,santa clara,UNITED STATES OF AMERICA,us immigration ops manager,"intel mobile communications, inc.",1227,4087651681,,95054,ca,2010,,,SAN DIEGO,Master's,2015,2016,1
245761,,,,A-15006-39418,2015-02-13,Certified,H-1B,TAIWAN,2015-09-01,international scholars & faculty visa services/ohr,404 JAMES M. ELLIOTT BLDG.,university park,UNITED STATES OF AMERICA,immigration consultant,the pennsylvania state university,46000,8148650423,,16802,pennsylvania,1855,A,TAIWAN,HUMMELSTOWN,Doctorate,2015,2015,9
197393,indianapolis,barnes & thornburg llp,in,A-14219-96103,2014-08-07,Certified-Expired,H-1B,INDIA,2015-01-13,3063 fiat avenue,,springfield,UNITED STATES OF AMERICA,hr legal counsel,h. d. smith wholesale drug co,834,2174678904,,62703,illinois,1963,A,INDIA,CHATHAM,Bachelor's,2014,2015,1
