rent date,season,mnth,holiday,weekday,workingday,weathersit,temp normalized,original hum,windspeed,casual users,registered users,total rental bikes
20/05/2011,Spring,5,0,5,1,Clear,0.536667,71.9583,8.375871,909,4008,4917
21/05/2011,Spring,5,0,6,0,Clear,0.6025,62.6667,8.08355,2258,3547,5805
22/05/2011,Spring,5,0,0,0,Clear,0.604167,74.9583,9.916536,1576,3084,4660
23/05/2011,Spring,5,0,1,1,Few clouds,0.631667,81,15.667414,836,3438,4274
24/05/2011,Spring,5,0,2,1,Few clouds,0.66,74.0833,13.875164,659,3833,4492
25/05/2011,Spring,5,0,3,1,Clear,0.660833,69.625,10.333611,740,4238,4978
26/05/2011,Spring,5,0,4,1,Clear,0.708333,67.75,13.376014,758,3919,4677
27/05/2011,Spring,5,0,5,1,Clear,0.681667,65.375,16.125493,871,3808,4679
28/05/2011,Spring,5,0,6,0,Clear,0.655833,72.9583,15.416164,2001,2757,4758
29/05/2011,Spring,5,0,0,0,Clear,0.6675,81.875,14.333846,2355,2433,4788
30/05/2011,Spring,5,1,1,0,Clear,0.733333,68.5,8.792075,1549,2549,4098
31/05/2011,Spring,5,0,2,1,Clear,0.775,63.6667,7.459043,673,3309,3982
1/06/2011,Spring,6,0,3,1,Few clouds,0.764167,67.7083,13.875164,513,3461,3974
2/06/2011,Spring,6,0,4,1,Clear,0.715,30.5,19.583229,736,4232,4968
3/06/2011,Spring,6,0,5,1,Clear,0.62,35.4167,16.959107,898,4414,5312
4/06/2011,Spring,6,0,6,0,Clear,0.635,45.625,8.250514,1869,3473,5342
5/06/2011,Spring,6,0,0,0,Few clouds,0.648333,65.25,9.292364,1685,3221,4906
6/06/2011,Spring,6,0,1,1,Clear,0.678333,60,8.167032,673,3875,4548
7/06/2011,Spring,6,0,2,1,Clear,0.7075,59.7917,12.583136,763,4070,4833
8/06/2011,Spring,6,0,3,1,Clear,0.775833,62.2083,9.166739,676,3725,4401
9/06/2011,Spring,6,0,4,1,Few clouds,0.808333,56.8333,10.042161,563,3352,3915
10/06/2011,Spring,6,0,5,1,Clear,0.755,60.5,9.417118,815,3771,4586
11/06/2011,Spring,6,0,6,0,Clear,0.725,65.4583,10.37495,1729,3237,4966
12/06/2011,Spring,6,0,0,0,Clear,0.6925,74.7917,10.958989,1467,2993,4460
13/06/2011,Spring,6,0,1,1,Clear,0.635,49.4583,20.45845,863,4157,5020
14/06/2011,Spring,6,0,2,1,Clear,0.604167,50.7083,18.041961,727,4164,4891
15/06/2011,Spring,6,0,3,1,Clear,0.626667,47.1667,11.250104,769,4411,5180
16/06/2011,Spring,6,0,4,1,Few clouds,0.628333,68.8333,13.833557,545,3222,3767
17/06/2011,Spring,6,0,5,1,Clear,0.649167,73.5833,9.582943,863,3981,4844
18/06/2011,Spring,6,0,6,0,Clear,0.696667,67.0417,8.000336,1807,3312,5119
19/06/2011,Spring,6,0,0,0,Few clouds,0.699167,66.6667,6.834,1639,3105,4744
20/06/2011,Spring,6,0,1,1,Few clouds,0.635,74.625,10.416825,699,3311,4010
21/06/2011,Summer,6,0,2,1,Few clouds,0.680833,77.0417,11.458675,774,4061,4835
22/06/2011,Summer,6,0,3,1,Clear,0.733333,70.75,11.541554,661,3846,4507
23/06/2011,Summer,6,0,4,1,Few clouds,0.728333,70.3333,15.999868,746,4044,4790
24/06/2011,Summer,6,0,5,1,Clear,0.724167,57.3333,14.875675,969,4022,4991
25/06/2011,Summer,6,0,6,0,Clear,0.695,48.3333,14.041257,1782,3420,5202
26/06/2011,Summer,6,0,0,0,Clear,0.68,51.3333,6.3337311,1920,3385,5305
27/06/2011,Summer,6,0,1,1,Few clouds,0.6825,65.8333,7.208396,854,3854,4708
28/06/2011,Summer,6,0,2,1,Clear,0.744167,63.4167,9.666961,732,3916,4648
29/06/2011,Summer,6,0,3,1,Clear,0.728333,49.7917,17.542007,848,4377,5225
30/06/2011,Summer,6,0,4,1,Clear,0.696667,43.4167,12.415904,1027,4488,5515
1/07/2011,Summer,7,0,5,1,Clear,0.7225,39.625,6.874736,1246,4116,5362
2/07/2011,Summer,7,0,6,0,Clear,0.738333,44.4583,7.709154,2204,2915,5119
3/07/2011,Summer,7,0,0,0,Few clouds,0.716667,68.25,15.333486,2282,2367,4649
4/07/2011,Summer,7,1,1,0,Few clouds,0.726667,63.7917,5.4591064,3065,2978,6043
5/07/2011,Summer,7,0,2,1,Clear,0.746667,59.0417,8.459286,1031,3634,4665
6/07/2011,Summer,7,0,3,1,Clear,0.72,74.3333,10.042161,784,3845,4629
7/07/2011,Summer,7,0,4,1,Clear,0.75,65.125,10.6664,754,3838,4592
8/07/2011,Summer,7,0,5,1,Few clouds,0.709167,75.7917,15.083643,692,3348,4040
9/07/2011,Summer,7,0,6,0,Clear,0.733333,60.9167,11.250104,1988,3348,5336
10/07/2011,Summer,7,0,0,0,Clear,0.7475,57.8333,12.292557,1743,3138,4881
11/07/2011,Summer,7,0,1,1,Clear,0.7625,63.5833,18.916579,723,3363,4086
12/07/2011,Summer,7,0,2,1,Clear,0.794167,55.9167,13.417018,662,3596,4258
13/07/2011,Summer,7,0,3,1,Clear,0.746667,63.1667,9.790911,748,3594,4342
14/07/2011,Summer,7,0,4,1,Clear,0.680833,47.625,16.124689,888,4196,5084
15/07/2011,Summer,7,0,5,1,Clear,0.663333,59.125,12.249811,1318,4220,5538
16/07/2011,Summer,7,0,6,0,Clear,0.686667,58.5,13.958914,2418,3505,5923
17/07/2011,Summer,7,0,0,0,Clear,0.719167,60.4167,16.417211,2006,3296,5302
18/07/2011,Summer,7,0,1,1,Clear,0.746667,65.125,14.458868,841,3617,4458
19/07/2011,Summer,7,0,2,1,Clear,0.776667,65.0417,8.7502,752,3789,4541
20/07/2011,Summer,7,0,3,1,Clear,0.768333,70.7083,7.625739,644,3688,4332
21/07/2011,Summer,7,0,4,1,Few clouds,0.815,69.125,14.875407,632,3152,3784
22/07/2011,Summer,7,0,5,1,Clear,0.848333,58.0417,8.9177,562,2825,3387
23/07/2011,Summer,7,0,6,0,Clear,0.849167,50,8.791807,987,2298,3285
24/07/2011,Summer,7,0,0,0,Clear,0.83,55.0833,11.334457,1050,2556,3606
25/07/2011,Summer,7,0,1,1,Clear,0.743333,75.7083,6.0841561,568,3272,3840
26/07/2011,Summer,7,0,2,1,Clear,0.771667,54.0833,13.417286,750,3840,4590
27/07/2011,Summer,7,0,3,1,Clear,0.775,40.2917,12.292021,755,3901,4656
28/07/2011,Summer,7,0,4,1,Clear,0.779167,58.3333,11.958093,606,3784,4390
29/07/2011,Summer,7,0,5,1,Clear,0.838333,54.25,11.667246,670,3176,3846
30/07/2011,Summer,7,0,6,0,Clear,0.804167,46.5833,11.291979,1559,2916,4475
31/07/2011,Summer,7,0,0,0,Clear,0.805833,48.0833,11.042471,1524,2778,4302
1/08/2011,Summer,8,0,1,1,Clear,0.771667,55.0833,10.500039,729,3537,4266
2/08/2011,Summer,8,0,2,1,Clear,0.783333,49.125,13.79195,801,4044,4845
3/08/2011,Summer,8,0,3,1,Few clouds,0.731667,65.75,9.084061,467,3107,3574
4/08/2011,Summer,8,0,4,1,Few clouds,0.71,75.75,13.20905,799,3777,4576
5/08/2011,Summer,8,0,5,1,Clear,0.710833,63.0833,12.374632,1023,3843,4866
6/08/2011,Summer,8,0,6,0,Few clouds,0.716667,75.5,15.29275,1521,2773,4294
7/08/2011,Summer,8,0,0,0,Clear,0.7425,75.2917,13.499629,1298,2487,3785
8/08/2011,Summer,8,0,1,1,Clear,0.765,59.2083,12.875725,846,3480,4326
9/08/2011,Summer,8,0,2,1,Clear,0.775,57.0417,10.125107,907,3695,4602
10/08/2011,Summer,8,0,3,1,Clear,0.766667,42.4167,13.417286,884,3896,4780
11/08/2011,Summer,8,0,4,1,Clear,0.7175,42.375,11.041332,812,3980,4792
12/08/2011,Summer,8,0,5,1,Clear,0.708333,41.5,8.416607,1051,3854,4905
13/08/2011,Summer,8,0,6,0,Few clouds,0.685833,72.9583,14.167418,1504,2646,4150
14/08/2011,Summer,8,0,0,0,Few clouds,0.676667,81.75,14.916411,1338,2482,3820
15/08/2011,Summer,8,0,1,1,Clear,0.665833,71.2083,13.999918,775,3563,4338
16/08/2011,Summer,8,0,2,1,Clear,0.700833,57.8333,15.834043,721,4004,4725
17/08/2011,Summer,8,0,3,1,Clear,0.723333,57.5417,9.625689,668,4026,4694
18/08/2011,Summer,8,0,4,1,Clear,0.711667,65.4583,15.624936,639,3166,3805
19/08/2011,Summer,8,0,5,1,Few clouds,0.685,72.2917,9.333636,797,3356,4153
20/08/2011,Summer,8,0,6,0,Clear,0.6975,67.4167,6.999289,1914,3277,5191
21/08/2011,Summer,8,0,0,0,Clear,0.710833,77,16.666518,1249,2624,3873
22/08/2011,Summer,8,0,1,1,Clear,0.691667,47,18.54225,833,3925,4758
23/08/2011,Summer,8,0,2,1,Clear,0.640833,45.5417,9.833121,1281,4614,5895
24/08/2011,Summer,8,0,3,1,Clear,0.673333,60.5,16.958236,949,4181,5130
25/08/2011,Summer,8,0,4,1,Few clouds,0.684167,77.1667,14.125811,435,3107,3542
26/08/2011,Summer,8,0,5,1,Clear,0.7,76.125,5.6254875,768,3893,4661
27/08/2011,Summer,8,0,6,0,Few clouds,0.68,85,25.166339,226,889,1115
28/08/2011,Summer,8,0,0,0,Clear,0.707059,56.1765,20.412153,1415,2919,4334
29/08/2011,Summer,8,0,1,1,Clear,0.636667,55.4583,10.708275,729,3905,4634
30/08/2011,Summer,8,0,2,1,Clear,0.639167,54.8333,8.375536,775,4429,5204
31/08/2011,Summer,8,0,3,1,Clear,0.656667,59.7917,5.5833311,688,4370,5058
1/09/2011,Summer,9,0,4,1,Clear,0.655,63.9167,9.500332,783,4332,5115
2/09/2011,Summer,9,0,5,1,Few clouds,0.643333,72.7083,9.375243,875,3852,4727
3/09/2011,Summer,9,0,6,0,Clear,0.669167,71.6667,12.416775,1935,2549,4484
4/09/2011,Summer,9,0,0,0,Clear,0.709167,74.2083,13.833289,2521,2419,4940
5/09/2011,Summer,9,1,1,0,Few clouds,0.673333,79.0417,14.250632,1236,2115,3351
6/09/2011,Summer,9,0,2,1,Partly cloudy,0.54,88.6957,23.044181,204,2506,2710
7/09/2011,Summer,9,0,3,1,Partly cloudy,0.599167,91.7083,6.5003936,118,1878,1996
8/09/2011,Summer,9,0,4,1,Partly cloudy,0.633913,93.9565,12.914116,153,1689,1842
9/09/2011,Summer,9,0,5,1,Few clouds,0.65,89.7917,8.333393,417,3127,3544
10/09/2011,Summer,9,0,6,0,Clear,0.66,75.375,10.291736,1750,3595,5345
11/09/2011,Summer,9,0,0,0,Clear,0.653333,71.375,7.708618,1633,3413,5046
12/09/2011,Summer,9,0,1,1,Clear,0.644348,69.2174,5.957171,690,4023,4713
13/09/2011,Summer,9,0,2,1,Clear,0.650833,71.25,9.500868,701,4062,4763
14/09/2011,Summer,9,0,3,1,Clear,0.673333,69.7083,11.2091,647,4138,4785
15/09/2011,Summer,9,0,4,1,Few clouds,0.5775,70.9167,18.166782,428,3231,3659
16/09/2011,Summer,9,0,5,1,Few clouds,0.469167,59.0417,11.000261,742,4018,4760
17/09/2011,Summer,9,0,6,0,Few clouds,0.491667,71.8333,12.708225,1434,3077,4511
18/09/2011,Summer,9,0,0,0,Clear,0.5075,69.5,11.958361,1353,2921,4274
19/09/2011,Summer,9,0,1,1,Few clouds,0.549167,69,10.166714,691,3848,4539
20/09/2011,Summer,9,0,2,1,Few clouds,0.561667,88.125,9.041918,438,3203,3641
21/09/2011,Summer,9,0,3,1,Few clouds,0.595,90,6.4590814,539,3813,4352
22/09/2011,Summer,9,0,4,1,Few clouds,0.628333,90.2083,8.584375,555,4240,4795
23/09/2011,Fall,9,0,5,1,Few clouds,0.609167,97.25,5.2505689,258,2137,2395
24/09/2011,Fall,9,0,6,0,Few clouds,0.606667,86.25,5.2516811,1776,3647,5423
25/09/2011,Fall,9,0,0,0,Few clouds,0.634167,84.5,3.3754064,1544,3466,5010
26/09/2011,Fall,9,0,1,1,Few clouds,0.649167,84.8333,7.4169,684,3946,4630
27/09/2011,Fall,9,0,2,1,Few clouds,0.636667,88.5417,7.917457,477,3643,4120
28/09/2011,Fall,9,0,3,1,Few clouds,0.635,84.875,9.958143,480,3427,3907
29/09/2011,Fall,9,0,4,1,Clear,0.616667,69.9167,11.583161,653,4186,4839
30/09/2011,Fall,9,0,5,1,Clear,0.564167,64.75,13.833825,830,4372,5202
1/10/2011,Fall,10,0,6,0,Few clouds,0.41,75.375,19.583832,480,1949,2429
2/10/2011,Fall,10,0,0,0,Few clouds,0.356667,79.1667,14.874871,616,2302,2918
3/10/2011,Fall,10,0,1,1,Few clouds,0.384167,76.0833,5.5841686,330,3240,3570
4/10/2011,Fall,10,0,2,1,Clear,0.484167,71,13.792218,486,3970,4456
5/10/2011,Fall,10,0,3,1,Clear,0.538333,64.7917,11.87575,559,4267,4826
6/10/2011,Fall,10,0,4,1,Clear,0.494167,62.0833,9.041918,639,4126,4765
7/10/2011,Fall,10,0,5,1,Clear,0.510833,68.4167,1.5002439,949,4036,4985
8/10/2011,Fall,10,0,6,0,Clear,0.521667,70.125,3.0420814,2235,3174,5409
9/10/2011,Fall,10,0,0,0,Clear,0.540833,72.75,4.25115,2397,3114,5511
10/10/2011,Fall,10,1,1,0,Clear,0.570833,73.375,2.8343814,1514,3603,5117
11/10/2011,Fall,10,0,2,1,Few clouds,0.566667,80.875,9.583814,667,3896,4563
12/10/2011,Fall,10,0,3,1,Partly cloudy,0.543333,90.625,16.62605,217,2199,2416
13/10/2011,Fall,10,0,4,1,Few clouds,0.589167,89.6667,9.499729,290,2623,2913
14/10/2011,Fall,10,0,5,1,Few clouds,0.550833,71.625,15.000161,529,3115,3644
15/10/2011,Fall,10,0,6,0,Clear,0.506667,48.3333,17.291561,1899,3318,5217
16/10/2011,Fall,10,0,0,0,Clear,0.511667,48.6667,18.875039,1748,3293,5041
17/10/2011,Fall,10,0,1,1,Clear,0.534167,57.9583,11.750393,713,3857,4570
18/10/2011,Fall,10,0,2,1,Few clouds,0.5325,70.1667,7.375829,637,4111,4748
19/10/2011,Fall,10,0,3,1,Partly cloudy,0.541739,89.5217,16.303713,254,2170,2424
20/10/2011,Fall,10,0,4,1,Clear,0.475833,63.625,28.292425,471,3724,4195
21/10/2011,Fall,10,0,5,1,Clear,0.4275,57.4167,14.833532,676,3628,4304
22/10/2011,Fall,10,0,6,0,Clear,0.4225,62.9167,6.2086689,1499,2809,4308
23/10/2011,Fall,10,0,0,0,Clear,0.421667,74.125,6.6673375,1619,2762,4381
24/10/2011,Fall,10,0,1,1,Clear,0.463333,77.2083,7.959064,699,3488,4187
25/10/2011,Fall,10,0,2,1,Clear,0.471667,62.2917,11.166086,695,3992,4687
